2026-06-14 20:24:18 | INFO     | gemini_service | Receive task cancelled cleanly.
2026-06-14 20:24:19 | INFO     | websocket | Frontend client connected to /ws/voice
2026-06-14 20:24:19 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 1/3)
2026-06-14 20:24:21 | INFO     | websocket | Gemini Live session connected successfully!
2026-06-14 20:24:57 | INFO     | websocket | Frontend client disconnected
2026-06-14 20:24:57 | INFO     | gemini_service | Receive task cancelled cleanly.
2026-06-14 20:24:57 | INFO     | websocket | Frontend client connected to /ws/voice
2026-06-14 20:24:57 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 1/3)
2026-06-14 20:25:00 | INFO     | websocket | Gemini Live session connected successfully!
2026-06-14 20:25:05 | INFO     | websocket | Wake word received. Triggering Sentinel online greeting.
2026-06-14 20:25:20 | INFO     | gemini_service | [LATENCY] First audio chunk received in 56 ms
2026-06-14 20:25:20 | INFO     | gemini_service | [LATENCY] First audio chunk received in 129 ms
2026-06-14 20:25:20 | INFO     | gemini_service | [LATENCY] First audio chunk received in 199 ms
2026-06-14 20:25:20 | INFO     | gemini_service | [LATENCY] First audio chunk received in 6 ms
2026-06-14 20:26:06 | INFO     | gemini_service | [LATENCY] First audio chunk received in 235 ms
2026-06-14 20:26:06 | INFO     | gemini_service | [LATENCY] First audio chunk received in 59 ms
2026-06-14 20:26:07 | INFO     | gemini_service | [LATENCY] First audio chunk received in 28 ms
2026-06-14 20:26:15 | INFO     | gemini_service | [LATENCY] First audio chunk received in 29 ms
2026-06-14 20:26:15 | INFO     | gemini_service | [LATENCY] First audio chunk received in 12 ms
2026-06-14 20:26:15 | INFO     | gemini_service | [LATENCY] First audio chunk received in 16 ms
2026-06-14 20:26:15 | INFO     | gemini_service | [LATENCY] First audio chunk received in 21 ms
2026-06-14 20:26:17 | WARNING  | gemini_service | User barge-in detected. Sending interrupt signal.
2026-06-14 20:26:19 | INFO     | gemini_service | [LATENCY] First audio chunk received in 179 ms
2026-06-14 20:26:19 | INFO     | gemini_service | [LATENCY] First audio chunk received in 74 ms
2026-06-14 20:26:19 | INFO     | gemini_service | [LATENCY] First audio chunk received in 34 ms
2026-06-14 20:26:19 | INFO     | gemini_service | [LATENCY] First audio chunk received in 35 ms
2026-06-14 20:26:31 | INFO     | gemini_service | [LATENCY] First audio chunk received in 16 ms
2026-06-14 20:26:32 | INFO     | gemini_service | [LATENCY] First audio chunk received in 7 ms
2026-06-14 20:26:32 | INFO     | gemini_service | [LATENCY] First audio chunk received in 23 ms
2026-06-14 20:26:32 | INFO     | gemini_service | [LATENCY] First audio chunk received in 22 ms
2026-06-14 20:26:32 | INFO     | gemini_service | [LATENCY] First audio chunk received in 11 ms
2026-06-14 20:26:33 | INFO     | gemini_service | [LATENCY] First audio chunk received in 6 ms
2026-06-14 20:26:33 | INFO     | gemini_service | [LATENCY] First audio chunk received in 6 ms
2026-06-14 20:26:40 | WARNING  | gemini_service | User barge-in detected. Sending interrupt signal.
2026-06-14 20:26:54 | INFO     | gemini_service | [LATENCY] First audio chunk received in 197 ms
